11,one-teen,teen-one,I-I-I-I-I-I-I-I-I-I-I,I-O-I-I
12,two-teen,teen-two,I-I-I-I-I-I-I-I-I-I-I-I,I-I-O-O
13,thir-teen,teen-thir,I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-O-I
14,four-teen,teen-four,I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-I-O
15,fif-teen,teen-fif,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-I-I
16,six-teen,teen-six,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-O-O
17,seven-teen,teen-seven,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-O-I
18,eight-teen,teen-eight,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-I-O
19,nine-teen,teen-nine,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-I-I
21,one-twenty,twenty-one,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-I-O-I
22,two-twenty,twenty-two,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-I-I-O
23,three-twenty,twenty-three,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-I-I-I
24,four-twenty,twenty-four,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-O-O-O
25,five-twenty,twenty-five,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-O-O-I
26,six-twenty,twenty-six,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-O-I-O
27,seven-twenty,twenty-seven,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-O-I-I
28,eight-twenty,twenty-eight,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-I-O-O
29,nine-twenty,twenty-nine,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-I-O-I
31,one-thirty,thirty-one,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-I-I-I-I
32,two-thirty,thirty-two,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-O-O-O
33,three-thirty,thirty-three,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-O-O-I
34,four-thirty,thirty-four,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-O-I-O
35,five-thirty,thirty-five,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-O-I-I
36,six-thirty,thirty-six,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-I-O-O
37,seven-thirty,thirty-seven,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-I-O-I
38,eight-thirty,thirty-eight,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-I-I-O
39,nine-thirty,thirty-nine,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I,I-O-O-I-I-I
